Country or other education system,Total instructional hours per year,Total instructional hours per year stat factor (4 - Data avail for at least 70 percent but less than 85 percent of students. 5 - Data available for at least 50 percent but less than 70 percent of students.),Total instructional hours per year Std Error,Mathematics average score\2\,Mathmatics average score reliability factor (9 – percentage of students with achievement too low exceeds 25 percent. 10- percentage of students with achievement above 15 percent but below 25),Mathematics average score std error,Mathmatics instructional time hours per year,Mathmatics instructional time hours per year stat factor (4 - Data avail for at least 70 percent but less than 85 percent of students. 5 - Data available for at least 50 percent but less than 70 percent of students.),Mathmatics instructional time hours per year std error,As a percent of total mathematics instructional hrs,As a percent of total mathmatics instructional hrs std error,Science average score\2\,Science average score reliability factor (9 – percentage of students with achievement too low exceeds 25 percent. 10- percentage of students with achievement above 15 percent but below 25),Science average score std error,Science instructional time hours per year,Science instructional time hours per year stat factor (4 - Data avail for at least 70 percent but less than 85 percent of students. 5 - Data available for at least 50 percent but less than 70 percent of students.),Science instructional time hours per year std error,As a percent of total science instructional hrs,As a percent of total science instructional hrs std error
TIMSS average,897,,(2.0),500,,,162,,(0.5),18,(0.1),500,,,85,,(0.5),10,(0.1)
Armenia,851,\4\,(17.1),452,,(3.5),139,\4\,(1.7),16,(0.2),416,,(3.8),54,\5\,(0.6),6,(0.1)
Australia,1008,,(6.9),516,,(2.9),230,\5\,(5.8),23,(0.6),516,,(2.8),65,\5\,(2.3),6,(0.2)
Austria,808,,(6.9),508,,(2.6),146,,(2.1),18,(0.3),532,,(2.8),96,,(2.3),12,(0.3)
"Azerbaijan\6,7\",804,,(27.7),463,,(5.8),130,,(3.3),18,(0.7),438,,(5.6),61,,(1.4),8,(0.3)
Bahrain,964,,(10.8),436,,(3.3),131,\4\,(4.4),14,(0.4),449,,(3.5),85,\4\,(2.7),9,(0.3)
Belgium (Flemish)-BEL,1010,\4\,(16.8),549,,(1.9),224,\4\,(4.1),21,(0.3),509,,(2.0),,,,,
Chile,1228,\4\,(22.6),462,,(2.3),231,\5\,(6.7),19,(0.6),480,,(2.4),161,\5\,(6.4),13,(0.5)
Chinese Taipei-CHN,989,\4\,(13.4),591,,(2.0),133,,(3.9),12,(0.4),552,,(2.2),90,,(2.3),9,(0.3)
Croatia\6\,776,,(19.4),490,,(1.9),134,,(2.3),18,(0.4),516,,(2.1),95,,(2.4),13,(0.4)
Czech Republic,782,,(8.2),511,,(2.4),163,,(3.0),21,(0.4),536,,(2.5),60,,(2.2),8,(0.3)
Denmark\6\,863,\4\,(9.4),537,,(2.6),124,\5\,(2.0),15,(0.3),528,,(2.8),62,\5\,(1.9),7,(0.2)
England-GBR,970,\4\,(8.3),542,,(3.5),188,\5\,(3.3),19,(0.4),529,,(2.9),76,\5\,(3.2),8,(0.3)
Finland,779,,(9.8),545,,(2.3),139,,(2.5),18,(0.4),570,,(2.6),98,,(1.9),13,(0.4)
"Georgia\7,8\",748,\4\,(18.7),450,,(3.7),148,\4\,(3.9),21,(0.6),455,,(3.8),110,\4\,(2.7),16,(0.4)
Germany,863,\4\,(11.2),528,,(2.2),163,\4\,(3.1),19,(0.3),528,,(2.9),75,\5\,(3.5),8,(0.4)
Hong Kong-CHN\6\,1059,\4\,(11.2),602,,(3.4),158,\4\,(3.0),15,(0.3),535,,(3.8),88,\4\,(4.2),8,(0.4)
Hungary,760,,(12.2),515,,(3.4),148,,(3.3),20,(0.5),534,,(3.7),72,,(2.2),10,(0.3)
"Iran, Islamic Republic of",727,,(11.2),431,,(3.5),146,,(3.9),20,(0.4),453,,(3.7),106,,(3.2),14,(0.4)
Ireland,854,,(#),527,,(2.6),150,,(2.8),18,(0.3),516,,(3.4),63,,(6.6),7,(0.8)
